timestamp,flight_id,origin,destination,departure_date,return_date,price,currency,airline,stops,duration,url
2025-11-17T13:39:30.206602-03:00,flight-italy-sep2026,GRU,VCE,2026-09-02,2026-09-16,4458.0,BRL,Air France,1,16h 10m,https://www.google.com/travel/flights?q=GRU%20to%20VCE%202026-09-02%20to%202026-09-16&curr=BRL&hl=pt-BR
2025-11-17T13:39:30.240115-03:00,flight-italy-sep2026,GRU,VCE,2026-09-02,2026-09-16,4458.0,BRL,LATAM,1,16h 10m,https://www.google.com/travel/flights?q=GRU%20to%20VCE%202026-09-02%20to%202026-09-16&curr=BRL&hl=pt-BR
2025-11-17T13:39:30.255882-03:00,flight-italy-sep2026,GRU,VCE,2026-09-02,2026-09-16,4458.0,BRL,Gol,1,16h 10m,https://www.google.com/travel/flights?q=GRU%20to%20VCE%202026-09-02%20to%202026-09-16&curr=BRL&hl=pt-BR
2025-11-17T13:40:14.626647-03:00,flight-italy-sep2026,GRU,VCE,2026-09-03,2026-09-17,4458.0,BRL,Air France,1,16h 10m,https://www.google.com/travel/flights?q=GRU%20to%20VCE%202026-09-03%20to%202026-09-17&curr=BRL&hl=pt-BR
2025-11-17T13:40:14.658795-03:00,flight-italy-sep2026,GRU,VCE,2026-09-03,2026-09-17,4458.0,BRL,LATAM,1,16h 10m,https://www.google.com/travel/flights?q=GRU%20to%20VCE%202026-09-03%20to%202026-09-17&curr=BRL&hl=pt-BR
2025-11-17T13:40:14.674950-03:00,flight-italy-sep2026,GRU,VCE,2026-09-03,2026-09-17,4458.0,BRL,Gol,1,16h 10m,https://www.google.com/travel/flights?q=GRU%20to%20VCE%202026-09-03%20to%202026-09-17&curr=BRL&hl=pt-BR
2025-11-17T13:26:17.350115-03:00,flight-italy-sep2026,GRU,MXP,2026-08-30,2026-09-13,4557.0,BRL,Air France,1,14h 45m,https://www.google.com/travel/flights?q=GRU%20to%20MXP%202026-08-30%20to%202026-09-13&curr=BRL&hl=pt-BR
2025-11-17T13:26:17.366065-03:00,flight-italy-sep2026,GRU,MXP,2026-08-30,2026-09-13,4557.0,BRL,LATAM,1,14h 45m,https://www.google.com/travel/flights?q=GRU%20to%20MXP%202026-08-30%20to%202026-09-13&curr=BRL&hl=pt-BR
2025-11-17T13:26:17.397845-03:00,flight-italy-sep2026,GRU,MXP,2026-08-30,2026-09-13,4557.0,BRL,Gol,1,14h 45m,https://www.google.com/travel/flights?q=GRU%20to%20MXP%202026-08-30%20to%202026-09-13&curr=BRL&hl=pt-BR
2025-11-17T13:27:01.890457-03:00,flight-italy-sep2026,GRU,MXP,2026-08-31,2026-09-14,4557.0,BRL,Air France,1,14h 30m,https://www.google.com/travel/flights?q=GRU%20to%20MXP%202026-08-31%20to%202026-09-14&curr=BRL&hl=pt-BR
2025-11-17T13:27:01.908532-03:00,flight-italy-sep2026,GRU,MXP,2026-08-31,2026-09-14,4557.0,BRL,LATAM,1,14h 30m,https://www.google.com/travel/flights?q=GRU%20to%20MXP%202026-08-31%20to%202026-09-14&curr=BRL&hl=pt-BR
2025-11-17T13:27:01.938312-03:00,flight-italy-sep2026,GRU,MXP,2026-08-31,2026-09-14,4557.0,BRL,Gol,1,14h 30m,https://www.google.com/travel/flights?q=GRU%20to%20MXP%202026-08-31%20to%202026-09-14&curr=BRL&hl=pt-BR
2025-11-17T13:27:46.398022-03:00,flight-italy-sep2026,GRU,MXP,2026-09-01,2026-09-15,4557.0,BRL,Air France,1,14h 45m,https://www.google.com/travel/flights?q=GRU%20to%20MXP%202026-09-01%20to%202026-09-15&curr=BRL&hl=pt-BR
2025-11-17T13:27:46.430239-03:00,flight-italy-sep2026,GRU,MXP,2026-09-01,2026-09-15,4557.0,BRL,LATAM,1,14h 45m,https://www.google.com/travel/flights?q=GRU%20to%20MXP%202026-09-01%20to%202026-09-15&curr=BRL&hl=pt-BR
2025-11-17T13:27:46.454771-03:00,flight-italy-sep2026,GRU,MXP,2026-09-01,2026-09-15,4557.0,BRL,Gol,1,14h 45m,https://www.google.com/travel/flights?q=GRU%20to%20MXP%202026-09-01%20to%202026-09-15&curr=BRL&hl=pt-BR
2025-11-17T13:28:30.827589-03:00,flight-italy-sep2026,GRU,MXP,2026-09-02,2026-09-16,4557.0,BRL,Air France,1,14h 45m,https://www.google.com/travel/flights?q=GRU%20to%20MXP%202026-09-02%20to%202026-09-16&curr=BRL&hl=pt-BR
2025-11-17T13:28:30.843777-03:00,flight-italy-sep2026,GRU,MXP,2026-09-02,2026-09-16,4557.0,BRL,LATAM,1,14h 45m,https://www.google.com/travel/flights?q=GRU%20to%20MXP%202026-09-02%20to%202026-09-16&curr=BRL&hl=pt-BR
2025-11-17T13:28:30.875935-03:00,flight-italy-sep2026,GRU,MXP,2026-09-02,2026-09-16,4557.0,BRL,Gol,1,14h 45m,https://www.google.com/travel/flights?q=GRU%20to%20MXP%202026-09-02%20to%202026-09-16&curr=BRL&hl=pt-BR
2025-11-17T13:29:15.135651-03:00,flight-italy-sep2026,GRU,MXP,2026-09-03,2026-09-17,4557.0,BRL,Air France,1,14h 45m,https://www.google.com/travel/flights?q=GRU%20to%20MXP%202026-09-03%20to%202026-09-17&curr=BRL&hl=pt-BR
2025-11-17T13:29:15.161863-03:00,flight-italy-sep2026,GRU,MXP,2026-09-03,2026-09-17,4557.0,BRL,LATAM,1,14h 45m,https://www.google.com/travel/flights?q=GRU%20to%20MXP%202026-09-03%20to%202026-09-17&curr=BRL&hl=pt-BR
2025-11-17T13:29:15.177914-03:00,flight-italy-sep2026,GRU,MXP,2026-09-03,2026-09-17,4557.0,BRL,Gol,1,14h 45m,https://www.google.com/travel/flights?q=GRU%20to%20MXP%202026-09-03%20to%202026-09-17&curr=BRL&hl=pt-BR
